ds_name,rdf_store_name,raw_data_size_in_MB,triple_store_size_in_MB,ingestion_time_in_s
/var/data/dataset/alldata.TB_star_hierarchical.ttl,GraphDB,83,183,21
/var/data/dataset/alldata.TB_star_hierarchical.ttl,GraphDB,83,183,21
/var/data/dataset/alldata.TB_star_flat.ttl,GraphDB,113,173,20
/var/data/dataset/alldata.TB_star_flat.ttl,GraphDB,113,173,21
/var/data/dataset/alldata.TB.nq,GraphDB,9630,1282,567
/var/data/dataset/alldata.TB.nq,GraphDB,9630,1282,571
/var/data/dataset/alldata.TB_star_hierarchical.ttl,JenaTDB,83,267,10
/var/data/dataset/alldata.TB_star_hierarchical.ttl,JenaTDB,83,267,10
/var/data/dataset/alldata.TB_star_flat.ttl,JenaTDB,113,256,10
/var/data/dataset/alldata.TB_star_flat.ttl,JenaTDB,113,256,10
/var/data/dataset/alldata.TB.nq,JenaTDB,9630,7129,600
/var/data/dataset/alldata.TB.nq,JenaTDB,9630,7129,603
